,country_name,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
0,Mozambique,0,0,3.19839000701904,3.85834002494812,3.7359299659729,3.7359299659729,3.7359299659729,4.56322932243347,5.39052867889404,5.62194490432739,5.5575098991394,6.03576993942261,6.49390125274658,6.01083421707153,5.80086994171143,5.48664999008179,5.38976001739502,6.2863941192627,6.64256286621094,6.49789762496948,6.16198396682739
1,Cuba,9.57116985321045,9.9408597946167,10.2682304382324,10.5577802658081,9.05716991424561,11.8682098388672,14.0590801239014,13.1248598098755,12.8373098373413,12.1944851875305,11.5516605377197,10.6716957092285,9.6074686050415,8.96333694458008,9.01313304901123,9.01313304901123,9.030051231384275,9.04696941375732,9.216415882110595,9.38586235046387,9.38586235046387
2,Uruguay,2.32220005989075,2.0682098865509,2.49954009056091,2.71475005149841,2.85664010047913,2.85664010047913,2.85664010047913,2.85664010047913,3.50300514698029,4.14937019348145,4.09353351593018,4.23892021179199,4.26735019683838,4.20636987686157,4.36420011520386,4.41787004470825,4.60362005233765,4.62833976745605,4.54292011260986,4.46065998077393,4.5073299407959
4,Chile,4.04881000518799,3.91868996620178,3.54307007789612,3.28016996383667,3.04014992713928,3.2331600189209,3.79189991950989,4.25475978851318,4.18953990936279,4.0617299079895,4.304934978485105,4.54814004898071,4.75167989730835,4.90390014648438,5.3664698600769,5.43278980255127,5.473060131073,5.62630987167358,5.62993001937866,4.99923992156982,4.99923992156982
5,Ethiopia,3.63245010375977,3.63245010375977,3.63245010375977,4.56170511245728,5.49096012115479,5.45112991333008,5.40819978713989,4.42207002639771,4.49659013748169,5.48576021194458,5.56678009033203,4.82446432113647,4.79265069961548,5.15336132049561,5.06151390075684,5.49905061721802,5.22011184692383,4.48086929321289,4.09056520462036,4.06524896621704,3.73649501800537
6,Costa Rica,5.15044021606445,5.13373994827271,4.89062976837158,4.753384828567505,4.61613988876343,4.6345100402832,4.88697004318237,6.01030015945435,6.56574010848999,6.37988996505737,6.58239984512329,6.68739986419678,6.67952013015747,6.87349987030029,6.89395999908447,7.06980991363525,6.76991987228394,6.73808002471924,6.62898015975952,6.24841976165771,6.24841976165771
8,Cabo Verde,7.87682008743286,7.676730155944825,7.47664022445679,7.003120183944705,6.52960014343262,4.95981979370117,5.03464984893799,4.86586999893188,5.07658004760742,4.59784984588623,5.39769554138184,4.5615701675415,4.52134990692139,4.80622005462646,4.75475978851318,4.59278011322021,4.78792285919189,4.16529989242554,5.10140037536621,6.03750085830688,4.67288541793823
9,Peru,2.82056999206543,2.93779993057251,2.95787000656128,2.83903002738953,2.65281009674072,2.62940001487732,2.8677499294281,3.13994002342224,2.86730003356934,2.6635000705719,2.92276000976562,3.29729008674622,3.69599008560181,3.96933007240295,3.81316995620728,3.93130993843079,3.71392011642456,3.822429895401,4.25937986373901,3.92721009254456,3.83315992355347
10,Dominican Republic,1.9140100479126,1.84465003013611,1.84465003013611,1.84465003013611,1.945719957351685,2.04678988456726,2.04678988456726,1.96703886985779,1.88728785514832,1.87925755977631,2.75371950864792,3.62818145751953,3.62243437767029,3.6040027141571,3.85049557685852,3.9202675819397,3.91821074485779,4.04276895523071,4.51769828796387,3.74731349945068,3.94027137756348
11,Guyana,8.36553955078125,6.95590019226074,5.51293992996216,8.13973045349121,3.11891007423401,2.39117002487183,2.27087497711182,2.15057992935181,2.40938997268677,2.50669002532959,2.24131989479065,3.300824999809265,4.36033010482788,3.89569997787476,4.73775005340576,4.6647801399231,4.45058012008667,4.45058012008667,4.45058012008667,4.45058012008667,4.45058012008667
